id,name,brand,street,city,country,lat,lng,steak_available,logo_url
a2Pc40000001U31EAE,"Barburrito - Paddington Station",,"UNIT 18, THE LAWN, PADDINGTON STATION",England,United Kingdom,51.5159981,-0.1766912,false,
a2Pc40000001U32EAE,"Barburrito - Manchester Airport T2",,"TERMINAL 2 DEPARTURES, MANCHESTER AIRPORT",England,United Kingdom,53.3680295,-2.2816847,false,
a2Pc40000001U33EAE,"Barburrito - Manchester Arndale",,"MANCHESTER ARNDALE",England,United Kingdom,53.4835467,-2.2420169,false,
a2Pc40000001U34EAE,"Barburrito - Manchester Piccadilly Gardens",,"1 PICCADILLY GARDENs",England,United Kingdom,53.480349,-2.2364387,false,
a2Pc40000001U35EAE,"Barburrito - Trafford Centre",,"134 THE ORIENT, THE TRAFFORD CENTRE",Stretford,United Kingdom,53.465808,-2.347621,false,
a2Pc40000001U36EAE,"Barburrito - Nottingham",,"22 KING STREET",England,United Kingdom,52.9546697,-1.1493416,false,
a2Pc40000001U37EAE,"Barburrito - Sheffield Meadowhall",,"MEADOWHALL CENTRE",England,United Kingdom,53.4139328,-1.412974,false,
a2Pc40000001U38EAE,"Barburrito - Cardiff",,"ST DAVIDS",Wales,United Kingdom,51.4792748,-3.1742173,false,
a2Pc40000001UP1EAM,"Brezelkönig Bahnhofsplatz Aarau",Brezelkoenig,"Bahnhofplatz 3",Aarau,Switzerland,47.39175150000001,8.0522683,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP2EAM,"Brezelkönig",Brezelkoenig,"Bahnhofring",Bülach,Switzerland,47.5232561,8.5372329,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP3EAM,"Brezelkönig",Brezelkoenig,"Check in, Halle 3",Kloten,Switzerland,47.451049,8.5607645,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP4EAM,"Brezelkönig Glattzentrum, Wallisellen",Brezelkoenig,"Neue Winterthurerstrasse 99",Wallisellen,Switzerland,47.40845340000001,8.5960556,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP5EAM,"Brezelkönig",Brezelkoenig,"HardbrUecke",Zürich,Switzerland,47.3853205,8.5169876,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP6EAM,"Brezelkönig",Brezelkoenig,"Museumstrasse 1",Zürich,Switzerland,47.3792331,8.5362831,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP7EAM,"Brezelkönig Zürich HB, Shopville",Brezelkoenig,"Bahnhofplatz 15",Zürich,Switzerland,47.3777511,8.538122699999999,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP8EAM,"Brezelkönig Zürich HB, Unterführung Sihlquai",Brezelkoenig,"Sihlquai UnterfUehrung",Zürich,Switzerland,47.3788315,8.536961699999999,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UP9EAM,"Brezelkönig Bahnhof Oerlikon, Unterführung Ost",Brezelkoenig,"Hofwiesenstrasse 369",Zürich,Switzerland,47.4124299,8.5455934,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UPAEA2,"Brezelkönig Bahnhof Oerlikon, Unterführung Ost",Brezelkoenig,"UnterfUehrung Ost",Zürich,Switzerland,47.4124299,8.5455934,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UPBEA2,"Brezelkönig",Brezelkoenig,"Stadelhoferstrasse 8",Zürich,Switzerland,47.3664114,8.5488009,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UPCEA2,"Brezelkönig Flughafen Zürich, Airside Center",Brezelkoenig,"Airside Center, Level 1",Kloten,Switzerland,47.45240219999999,8.560831199999999,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UPDEA2,"Brezelkönig",Brezelkoenig,"Industriestrasse 15b",Zug,Switzerland,47.1730695,8.5179264,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001UPEEA2,"Brezelkönig Bahnhof Zug",Brezelkoenig,"Bahnhofplatz",Zug,Switzerland,47.1736681,8.5153356,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
